date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:48:13	66483/66483	---MC-	200	added ('OK')	text/html	date:Sun,%2002%20Sep%202018%2004:48:12%20GMT	http://localhost/wordpress/	C:/My%20Web%20Sites/Ignite%20Church/localhost/wordpress/index.html	(from )
23:48:13	1054/1054	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Sep%202018%2004:48:12%20GMT	http://localhost/robots.txt		(from )
23:48:13	83401/83401	---M--	200	added ('OK')	text/css	etag:%22145c9-5727ab3b34480%22	http://localhost/wordpress/wp-content/themes/twentyseventeen/style.css?ver=4.9.8	C:/My%20Web%20Sites/Ignite%20Church/localhost/wordpress/wp-content/themes/twentyseventeen/style5010.css	(from http://localhost/wordpress/)
23:48:15	742/742	---M--	200	added ('OK')	application/rss+xml	etag:%22b1e735884602ebf83b0e7b8104ad4f9a%22	http://localhost/wordpress/?feed=comments-rss2	C:/My%20Web%20Sites/Ignite%20Church/localhost/wordpress/indexa6da.html	(from http://localhost/wordpress/)
23:48:15	851/851	---M--	200	added ('OK')	application/rss+xml	etag:%22455ae5d33096d6b4ceb293831e7612da%22	http://localhost/wordpress/?feed=rss2	C:/My%20Web%20Sites/Ignite%20Church/localhost/wordpress/indexd784.html	(from http://localhost/wordpress/)
23:48:16	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5334426f5f800%22	http://localhost/wordpress/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/Ignite%20Church/localhost/wordpress/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/wordpress/)
23:48:18	862/862	---M--	200	added ('OK')	text/xml	date:Sun,%2002%20Sep%202018%2004:48:17%20GMT	http://localhost/wordpress/xmlrpc.php?rsd	C:/My%20Web%20Sites/Ignite%20Church/localhost/wordpress/xmlrpc0db0.php	(from http://localhost/wordpress/)
23:48:18	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4c8d5fb600%22	http://localhost/wordpress/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Ignite%20Church/localhost/wordpress/wp-includes/wlwmanifest.xml	(from http://localhost/wordpress/)
23:48:19	2182/2182	---M--	200	added ('OK')	application/json	date:Sun,%2002%20Sep%202018%2004:48:18%20GMT	http://localhost/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%2Fwordpress%2F	C:/My%20Web%20Sites/Ignite%20Church/localhost/wordpress/indexd51e.json	(from http://localhost/wordpress/)
23:48:19	2280/2280	---M--	200	added ('OK')	text/xml	date:Sun,%2002%20Sep%202018%2004:48:18%20GMT	http://localhost/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%2Fwordpress%2F&format=xml	C:/My%20Web%20Sites/Ignite%20Church/localhost/wordpress/index9b61.php	(from http://localhost/wordpress/)
